rank,suit,displayName,value,wild,drawQuote,winQuote,loseQuote,role,color,imagePrompt
King,Hearts,Suicide King of Hearts,10,false,Suicide King showed up dramatic as hell,The king took one for the team and got paid,Even the Suicide King could not save your dumb bet,Face card,Red,Classic suicide king of hearts with dramatic Vegas lighting
Ace,Diamonds,Ace of Diamonds,11,false,Ace of Diamonds smells like money and bad choices,That ace paid like a dirty little miracle,You had diamonds and still went broke,High card,Red,Classic ace of diamonds with luxury Vegas casino style
2,Diamonds,Two of Diamonds,2,false,Two diamonds is tip money,Two helped buy the win,You lost with pocket change energy,Number card,Red,Classic two of diamonds with casino chip background
3,Diamonds,Three of Diamonds,3,false,Three diamonds showed up looking flashy,Three polished this hand a little,You made shiny look stupid,Number card,Red,Classic three of diamonds with gold casino lighting
4,Diamonds,Four of Diamonds,4,false,Four diamonds is discount jewelry,Four still added value somehow,You played that like a pawn shop bracelet,Number card,Red,Classic four of diamonds with Vegas poker felt
5,Diamonds,Five of Diamonds,5,false,Five diamonds and a cheap whiskey plan,Five helped fund the comeback,You folded mentally before the cards did,Number card,Red,Classic five of diamonds with poker chips and neon
6,Diamonds,Six of Diamonds,6,false,Six diamonds has small jackpot energy,Six cashed in just enough,You lost like the ATM declined you,Number card,Red,Classic six of diamonds with casino money theme
7,Diamonds,Seven of Diamonds,7,false,Seven diamonds is lucky and expensive,Seven brought the sparkle and the win,You wasted luck like a tourist at slots,Number card,Red,Classic seven of diamonds under Vegas neon
8,Diamonds,Eight of Diamonds,8,false,Eight diamonds came with bottle service,Eight upgraded this hand to VIP,You got escorted out of a good situation,Number card,Red,Classic eight of diamonds with luxury poker room background
9,Diamonds,Nine of Diamonds,9,false,Nine diamonds looks like rent money,Nine made the hand worth watching,You lost the rent and the respect,Number card,Red,Classic nine of diamonds with chips and cash
10,Diamonds,Ten of Diamonds,10,false,Ten diamonds hit like a comped suite,Ten made the dealer hate life,You blew a premium card like an amateur,Number card,Red,Classic ten of diamonds with Vegas casino glow
Jack,Diamonds,Jack of Diamonds,10,false,Jack of Diamonds knows a guy named Vinny,Jack greased the wheels for the win,Jack had connections and you had problems,Face card,Red,Classic jack of diamonds with backroom poker style
Queen,Diamonds,Queen of Diamonds,10,false,Queen of Diamonds has expensive problems,The queen turned trash into treasure,You lost in front of high maintenance royalty,Face card,Red,Classic queen of diamonds with luxury casino theme
King,Diamonds,King of Diamonds,10,false,King of Diamonds owns the damn casino,The king bought the pot and smiled,The king had money and you had excuses,Face card,Red,Classic king of diamonds with gold Vegas casino style
Ace,Clubs,Ace of Clubs,11,false,Ace of Clubs just brought the hammer,That ace clubbed the dealer into silence,You had a weapon and missed the damn table,High card,Black,Classic ace of clubs with gritty poker room background
2,Clubs,Two of Clubs,2,false,Two clubs is a bar fight with training wheels,Two still landed a cheap shot,That two fought harder than you did,Number card,Black,Classic two of clubs on smoky casino felt
3,Clubs,Three of Clubs,3,false,Three clubs came looking for trouble,Three helped rough up the dealer,You lost like a guy yelling double down at sixteen,Number card,Black,Classic three of clubs with dark casino background
4,Clubs,Four of Clubs,4,false,Four clubs is blunt force accounting,Four added muscle to the hand,You turned muscle into mush,Number card,Black,Classic four of clubs with poker chips
5,Clubs,Five of Clubs,5,false,Five clubs has dive bar confidence,Five made the hand punch above weight,You lost with barstool strategy,Number card,Black,Classic five of clubs with Vegas dive casino feel
6,Clubs,Six of Clubs,6,false,Six clubs came to swing,The six cracked the dealer in the ribs,You got worked by basic math,Number card,Black,Classic six of clubs with dramatic casino lighting
7,Clubs,Seven of Clubs,7,false,Seven clubs is lucky with brass knuckles,Seven made the table flinch,You wasted a lucky punch,Number card,Black,Classic seven of clubs with neon poker room style
8,Clubs,Eight of Clubs,8,false,Eight clubs is a back alley handshake,Eight gave the hand some violence,You lost a fight you should have won,Number card,Black,Classic eight of clubs with gritty blackjack table
9,Clubs,Nine of Clubs,9,false,Nine clubs looks like casino security,Nine stood guard over the win,You got bounced from victory,Number card,Black,Classic nine of clubs with dark Vegas security vibe
10,Clubs,Ten of Clubs,10,false,Ten clubs swings like a bouncer,Ten threw the dealer into the rail,You had a bouncer and still got tossed,Number card,Black,Classic ten of clubs with poker room bouncer theme
Jack,Clubs,Jack of Clubs,10,false,Jack of Clubs came in loud and half drunk,Jack started a table fight and won,Jack brought chaos and you brought shame,Face card,Black,Classic jack of clubs with rowdy Vegas poker room
Queen,Clubs,Queen of Clubs,10,false,Queen of Clubs smiles before the assault,The queen handled business with a club,You got corrected by the queen,Face card,Black,Classic queen of clubs with dark elegant casino style
King,Clubs,King of Clubs,10,false,King of Clubs runs the rough table,The king beat the dealer like he owed money,The king swung hard and you ducked wrong,Face card,Black,Classic king of clubs with gritty Vegas blackjack room
