rank,suit,displayName,value,wild,drawQuote,winQuote,loseQuote,role,color,imagePrompt
4,Diamonds,Blue Pinstripes - Cubs 4,4,false,Blue Pinstripes - Cubs 4 steps up to the plate.,Blue Pinstripes - Cubs 4 delivers! The crowd at Wrigley is on its feet.,"Blue Pinstripes - Cubs 4 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"4 of Diamonds playing card, Blue Pinstripes - Cubs 4, Chicago Cubs blue red vintage baseball poster style"
5,Diamonds,Clark the Cub - Cubs 5,5,false,Clark the Cub - Cubs 5 steps up to the plate.,Clark the Cub - Cubs 5 delivers! The crowd at Wrigley is on its feet.,"Clark the Cub - Cubs 5 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"5 of Diamonds playing card, Clark the Cub - Cubs 5, Chicago Cubs blue red vintage baseball poster style"
6,Diamonds,Day Game Sunshine - Cubs 6,6,false,Day Game Sunshine - Cubs 6 steps up to the plate.,Day Game Sunshine - Cubs 6 delivers! The crowd at Wrigley is on its feet.,"Day Game Sunshine - Cubs 6 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"6 of Diamonds playing card, Day Game Sunshine - Cubs 6, Chicago Cubs blue red vintage baseball poster style"
7,Diamonds,Friendly Confines - Cubs 7,7,false,Friendly Confines - Cubs 7 steps up to the plate.,Friendly Confines - Cubs 7 delivers! The crowd at Wrigley is on its feet.,"Friendly Confines - Cubs 7 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"7 of Diamonds playing card, Friendly Confines - Cubs 7, Chicago Cubs blue red vintage baseball poster style"
8,Diamonds,Deep Dish Debate - Cubs 8,8,false,Deep Dish Debate - Cubs 8 steps up to the plate.,Deep Dish Debate - Cubs 8 delivers! The crowd at Wrigley is on its feet.,"Deep Dish Debate - Cubs 8 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"8 of Diamonds playing card, Deep Dish Debate - Cubs 8, Chicago Cubs blue red vintage baseball poster style"
9,Diamonds,Old Scoreboard - Cubs 9,9,false,Old Scoreboard - Cubs 9 steps up to the plate.,Old Scoreboard - Cubs 9 delivers! The crowd at Wrigley is on its feet.,"Old Scoreboard - Cubs 9 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"9 of Diamonds playing card, Old Scoreboard - Cubs 9, Chicago Cubs blue red vintage baseball poster style"
10,Diamonds,Holy Cow - Cubs 10,10,false,Holy Cow - Cubs 10 steps up to the plate.,Holy Cow - Cubs 10 delivers! The crowd at Wrigley is on its feet.,"Holy Cow - Cubs 10 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"10 of Diamonds playing card, Holy Cow - Cubs 10, Chicago Cubs blue red vintage baseball poster style"
J,Diamonds,Andre Dawson - Cubs Jack,10,false,Andre Dawson - Cubs Jack steps up to the plate.,Andre Dawson - Cubs Jack delivers! The crowd at Wrigley is on its feet.,"Andre Dawson - Cubs Jack swings hard, but this hand lands in the cheap seats for the wrong reason.",Jack,Cubs Blue and Red,"J of Diamonds playing card, Andre Dawson - Cubs Jack, Chicago Cubs blue red vintage baseball poster style"
Q,Diamonds,Ernie Banks - Cubs Queen,10,false,Ernie Banks - Cubs Queen steps up to the plate.,Ernie Banks - Cubs Queen delivers! The crowd at Wrigley is on its feet.,"Ernie Banks - Cubs Queen swings hard, but this hand lands in the cheap seats for the wrong reason.",Queen,Cubs Blue and Red,"Q of Diamonds playing card, Ernie Banks - Cubs Queen, Chicago Cubs blue red vintage baseball poster style"
K,Diamonds,Fergie Jenkins - Cubs King,10,false,Fergie Jenkins - Cubs King steps up to the plate.,Fergie Jenkins - Cubs King delivers! The crowd at Wrigley is on its feet.,"Fergie Jenkins - Cubs King swings hard, but this hand lands in the cheap seats for the wrong reason.",King,Cubs Blue and Red,"K of Diamonds playing card, Fergie Jenkins - Cubs King, Chicago Cubs blue red vintage baseball poster style"
A,Clubs,Bleacher Bums - Cubs Ace,11,false,Bleacher Bums - Cubs Ace steps up to the plate.,Bleacher Bums - Cubs Ace delivers! The crowd at Wrigley is on its feet.,"Bleacher Bums - Cubs Ace swings hard, but this hand lands in the cheap seats for the wrong reason.",Ace Place,Cubs Blue and Red,"A of Clubs playing card, Bleacher Bums - Cubs Ace, Chicago Cubs blue red vintage baseball poster style"
2,Clubs,Seventh Inning Stretch - Cubs 2,2,false,Seventh Inning Stretch - Cubs 2 steps up to the plate.,Seventh Inning Stretch - Cubs 2 delivers! The crowd at Wrigley is on its feet.,"Seventh Inning Stretch - Cubs 2 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"2 of Clubs playing card, Seventh Inning Stretch - Cubs 2, Chicago Cubs blue red vintage baseball poster style"
3,Clubs,Waveland Avenue - Cubs 3,3,false,Waveland Avenue - Cubs 3 steps up to the plate.,Waveland Avenue - Cubs 3 delivers! The crowd at Wrigley is on its feet.,"Waveland Avenue - Cubs 3 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"3 of Clubs playing card, Waveland Avenue - Cubs 3, Chicago Cubs blue red vintage baseball poster style"
4,Clubs,Blue Pinstripes - Cubs 4,4,false,Blue Pinstripes - Cubs 4 steps up to the plate.,Blue Pinstripes - Cubs 4 delivers! The crowd at Wrigley is on its feet.,"Blue Pinstripes - Cubs 4 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"4 of Clubs playing card, Blue Pinstripes - Cubs 4, Chicago Cubs blue red vintage baseball poster style"
5,Clubs,Clark the Cub - Cubs 5,5,false,Clark the Cub - Cubs 5 steps up to the plate.,Clark the Cub - Cubs 5 delivers! The crowd at Wrigley is on its feet.,"Clark the Cub - Cubs 5 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"5 of Clubs playing card, Clark the Cub - Cubs 5, Chicago Cubs blue red vintage baseball poster style"
6,Clubs,Day Game Sunshine - Cubs 6,6,false,Day Game Sunshine - Cubs 6 steps up to the plate.,Day Game Sunshine - Cubs 6 delivers! The crowd at Wrigley is on its feet.,"Day Game Sunshine - Cubs 6 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"6 of Clubs playing card, Day Game Sunshine - Cubs 6, Chicago Cubs blue red vintage baseball poster style"
7,Clubs,Friendly Confines - Cubs 7,7,false,Friendly Confines - Cubs 7 steps up to the plate.,Friendly Confines - Cubs 7 delivers! The crowd at Wrigley is on its feet.,"Friendly Confines - Cubs 7 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"7 of Clubs playing card, Friendly Confines - Cubs 7, Chicago Cubs blue red vintage baseball poster style"
8,Clubs,Deep Dish Debate - Cubs 8,8,false,Deep Dish Debate - Cubs 8 steps up to the plate.,Deep Dish Debate - Cubs 8 delivers! The crowd at Wrigley is on its feet.,"Deep Dish Debate - Cubs 8 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"8 of Clubs playing card, Deep Dish Debate - Cubs 8, Chicago Cubs blue red vintage baseball poster style"
9,Clubs,Old Scoreboard - Cubs 9,9,false,Old Scoreboard - Cubs 9 steps up to the plate.,Old Scoreboard - Cubs 9 delivers! The crowd at Wrigley is on its feet.,"Old Scoreboard - Cubs 9 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"9 of Clubs playing card, Old Scoreboard - Cubs 9, Chicago Cubs blue red vintage baseball poster style"
10,Clubs,Holy Cow - Cubs 10,10,false,Holy Cow - Cubs 10 steps up to the plate.,Holy Cow - Cubs 10 delivers! The crowd at Wrigley is on its feet.,"Holy Cow - Cubs 10 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"10 of Clubs playing card, Holy Cow - Cubs 10, Chicago Cubs blue red vintage baseball poster style"
J,Clubs,Ron Santo - Cubs Jack,10,false,Ron Santo - Cubs Jack steps up to the plate.,Ron Santo - Cubs Jack delivers! The crowd at Wrigley is on its feet.,"Ron Santo - Cubs Jack swings hard, but this hand lands in the cheap seats for the wrong reason.",Jack,Cubs Blue and Red,"J of Clubs playing card, Ron Santo - Cubs Jack, Chicago Cubs blue red vintage baseball poster style"
Q,Clubs,Kyle Schwarber - Cubs Queen,10,false,Kyle Schwarber - Cubs Queen steps up to the plate.,Kyle Schwarber - Cubs Queen delivers! The crowd at Wrigley is on its feet.,"Kyle Schwarber - Cubs Queen swings hard, but this hand lands in the cheap seats for the wrong reason.",Queen,Cubs Blue and Red,"Q of Clubs playing card, Kyle Schwarber - Cubs Queen, Chicago Cubs blue red vintage baseball poster style"
K,Clubs,Ryne Sandberg - Cubs King,10,false,Ryne Sandberg - Cubs King steps up to the plate.,Ryne Sandberg - Cubs King delivers! The crowd at Wrigley is on its feet.,"Ryne Sandberg - Cubs King swings hard, but this hand lands in the cheap seats for the wrong reason.",King,Cubs Blue and Red,"K of Clubs playing card, Ryne Sandberg - Cubs King, Chicago Cubs blue red vintage baseball poster style"
A,Spades,North Side Chicago - Cubs Ace,11,false,North Side Chicago - Cubs Ace steps up to the plate.,North Side Chicago - Cubs Ace delivers! The crowd at Wrigley is on its feet.,"North Side Chicago - Cubs Ace swings hard, but this hand lands in the cheap seats for the wrong reason.",Ace Place,Cubs Blue and Red,"A of Spades playing card, North Side Chicago - Cubs Ace, Chicago Cubs blue red vintage baseball poster style"
2,Spades,Seventh Inning Stretch - Cubs 2,2,false,Seventh Inning Stretch - Cubs 2 steps up to the plate.,Seventh Inning Stretch - Cubs 2 delivers! The crowd at Wrigley is on its feet.,"Seventh Inning Stretch - Cubs 2 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"2 of Spades playing card, Seventh Inning Stretch - Cubs 2, Chicago Cubs blue red vintage baseball poster style"
3,Spades,Waveland Avenue - Cubs 3,3,false,Waveland Avenue - Cubs 3 steps up to the plate.,Waveland Avenue - Cubs 3 delivers! The crowd at Wrigley is on its feet.,"Waveland Avenue - Cubs 3 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"3 of Spades playing card, Waveland Avenue - Cubs 3, Chicago Cubs blue red vintage baseball poster style"
4,Spades,Blue Pinstripes - Cubs 4,4,false,Blue Pinstripes - Cubs 4 steps up to the plate.,Blue Pinstripes - Cubs 4 delivers! The crowd at Wrigley is on its feet.,"Blue Pinstripes - Cubs 4 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"4 of Spades playing card, Blue Pinstripes - Cubs 4, Chicago Cubs blue red vintage baseball poster style"
5,Spades,Clark the Cub - Cubs 5,5,false,Clark the Cub - Cubs 5 steps up to the plate.,Clark the Cub - Cubs 5 delivers! The crowd at Wrigley is on its feet.,"Clark the Cub - Cubs 5 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"5 of Spades playing card, Clark the Cub - Cubs 5, Chicago Cubs blue red vintage baseball poster style"
6,Spades,Day Game Sunshine - Cubs 6,6,false,Day Game Sunshine - Cubs 6 steps up to the plate.,Day Game Sunshine - Cubs 6 delivers! The crowd at Wrigley is on its feet.,"Day Game Sunshine - Cubs 6 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"6 of Spades playing card, Day Game Sunshine - Cubs 6, Chicago Cubs blue red vintage baseball poster style"
7,Spades,Friendly Confines - Cubs 7,7,false,Friendly Confines - Cubs 7 steps up to the plate.,Friendly Confines - Cubs 7 delivers! The crowd at Wrigley is on its feet.,"Friendly Confines - Cubs 7 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"7 of Spades playing card, Friendly Confines - Cubs 7, Chicago Cubs blue red vintage baseball poster style"
8,Spades,Deep Dish Debate - Cubs 8,8,false,Deep Dish Debate - Cubs 8 steps up to the plate.,Deep Dish Debate - Cubs 8 delivers! The crowd at Wrigley is on its feet.,"Deep Dish Debate - Cubs 8 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"8 of Spades playing card, Deep Dish Debate - Cubs 8, Chicago Cubs blue red vintage baseball poster style"
9,Spades,Old Scoreboard - Cubs 9,9,false,Old Scoreboard - Cubs 9 steps up to the plate.,Old Scoreboard - Cubs 9 delivers! The crowd at Wrigley is on its feet.,"Old Scoreboard - Cubs 9 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"9 of Spades playing card, Old Scoreboard - Cubs 9, Chicago Cubs blue red vintage baseball poster style"
10,Spades,Holy Cow - Cubs 10,10,false,Holy Cow - Cubs 10 steps up to the plate.,Holy Cow - Cubs 10 delivers! The crowd at Wrigley is on its feet.,"Holy Cow - Cubs 10 swings hard, but this hand lands in the cheap seats for the wrong reason.",Theme Card,Cubs Blue and Red,"10 of Spades playing card, Holy Cow - Cubs 10, Chicago Cubs blue red vintage baseball poster style"
J,Spades,Sammy Sosa - Cubs Jack,10,false,Sammy Sosa - Cubs Jack steps up to the plate.,Sammy Sosa - Cubs Jack delivers! The crowd at Wrigley is on its feet.,"Sammy Sosa - Cubs Jack swings hard, but this hand lands in the cheap seats for the wrong reason.",Jack,Cubs Blue and Red,"J of Spades playing card, Sammy Sosa - Cubs Jack, Chicago Cubs blue red vintage baseball poster style"
Q,Spades,Mark Grace - Cubs Queen,10,false,Mark Grace - Cubs Queen steps up to the plate.,Mark Grace - Cubs Queen delivers! The crowd at Wrigley is on its feet.,"Mark Grace - Cubs Queen swings hard, but this hand lands in the cheap seats for the wrong reason.",Queen,Cubs Blue and Red,"Q of Spades playing card, Mark Grace - Cubs Queen, Chicago Cubs blue red vintage baseball poster style"
K,Spades,Andre Dawson - Cubs King,10,true,The Hawk watches the whole table like center field belongs to him.,Andre Dawson goes wild! That hand just flew out of Wrigley.,Even The Hawk cannot save that busted hand.,King,Cubs Blue and Red,"K of Spades playing card, Andre Dawson - Cubs King, Chicago Cubs blue red vintage baseball poster style"
